glayCluster,name
1,TRPV2
6,TOLLIP
1,TMEM63B
6,TMEM135
6,THNSL2
4,TFR2
1,TBX18
1,STIP1
6,SRD5A1
1,SPON2
1,SFRP4
7,AL162424.1
3,STPG2-AS1
1,RALB
1,PDE4DIP
1,NINJ2
3,LINC01934
3,LINC02542
3,KLRK1-AS1
3,HLA-DQB1-AS1
3,SNAI3-AS1
6,LRRC20
6,JUP
6,ITGB3BP
6,IL15
1,IGFBP6
3,AC025043.1
3,AC093843.1
5,AC004540.2
3,LINC02188
3,EML4-AS1
3,AP001496.2
3,AL031123.1
1,HEATR3
6,GUCD1
6,GRAMD4
4,GIPR
2,ZNF503-AS1
5,IL21R-AS1
5,AC087645.2
5,AC120036.4
4,ECM1
1,DNAJA1
1,DLGAP5
5,LINC02714
1,DCLK1
6,CXorf38
3,GSTCD-AS1
6,CSE1L
7,ITFG2-AS1
4,CLSPN
4,CDCA7
4,CBX8
4,CBFA2T3
1,BGN
1,ARPC2
1,ARHGAP15
9,APLN
1,ANKRD35
7,AL390195.1
1,SEMA3D
3,AL359921.1
4,AVIL
6,ALPK2
4,ZNF585A
4,ZNF394
4,ZNF276
4,ZNF23
4,ZNF16
4,ZNF140
4,ZKSCAN5
4,ZFP37
6,ZDHHC21
4,ZCWPW1
4,ZCCHC14
4,ZBTB7B
4,ZBTB43
4,YTHDC1
4,XRRA1
4,XPNPEP3
4,WWP1
4,WFIKKN1
4,WDR73
4,VPS37A
4,USP44
4,USP38
4,USP36
3,NCK1-DT
3,AC104135.1
4,UNK
4,UBN1
4,TUT1
4,TTC19
4,TSC1
4,TRPV1
4,TRPM4
4,TRMT2B
4,TRIM8
4,TRIM59
4,TRIM56
4,TP53BP1
4,TOR1AIP2
4,TNS2
4,TNRC18
4,TMEM87A
4,TMEM190
4,TMC4
4,TLK2
4,TLE1
4,TGFBRAP1
4,TFDP2
4,TBC1D9B
4,TAOK2
4,SYVN1
4,STT3B
4,STK11IP
4,SRSF4
4,SRRM2
4,SPTAN1
4,SPPL2B
4,SPEN
4,SP3
4,SNX27
4,SNX22
4,SNRNP70
4,SLX1A
4,SLC34A3
4,SLC22A15
4,SLC12A7
4,SHROOM3
4,SHANK1
4,SH3BP1
4,SGSM3
4,SETDB2
4,SETD5
4,SETD1B
4,SESN3
4,SCRIB
4,SCD
4,SBF1
4,RTKN2
4,RSBN1
4,RPRD2
4,ROBO1
4,RNF43
4,RGS20
4,RFX7
4,RCCD1
4,RC3H2
4,RBM47
3,AC068533.3
4,RB1CC1
4,RAPGEF6
4,RABGAP1
4,RAB40C
4,QRICH2
4,PTPRS
4,PPP4R3A
4,PPP1R12C
4,PPAN
2,ITPK1-AS1
4,POU2F1
4,PNPLA7
4,PNKP
4,PLXNA3
4,PLXNA1
4,PLEKHM1
4,PLD6
4,PLCG1
4,PLCB4
4,PILRB
4,PIK3CD
4,PGPEP1
4,PELI1
4,PCDH7
4,PACS1
4,P2RY11
4,OSBPL2
6,ORAI2
4,NUSAP1
4,NUDT4
4,NUAK2
4,NRBP2
4,NR2F1
4,NETO1
4,NEK9
4,NEIL1
4,NCOR2
4,NCOA1
4,NBPF11
4,NAV2
4,MYH14
4,MUC1
4,MTHFR
4,MTG1
4,MORF4L1
4,MORC4
4,MOB2
4,MLLT6
4,METTL2B
4,METTL16
4,MED25
4,MED15
6,MBD6
4,MATN2
4,MAP4K4
4,MAP3K6
4,MAP3K13
4,MAP3K12
4,MAP3K11
4,MAMDC4
4,MAFK
4,LTBP4
4,LTBP3
6,LTBP2
4,LTB4R
4,LSS
4,LRRFIP2
4,LRIG2
4,LMF1
4,LIME1
4,LCLAT1
4,LARP1
4,KLHDC4
4,KIAA0319L
4,IVD
4,ITGB8
4,ITGA10
4,IRGQ
4,INO80
4,IMPG2
4,IL4R
4,IL17RD
4,IKBKE
4,HUNK
4,HSF5
3,AC004000.1
3,AC007533.1
3,AL590723.1
3,AC096564.1
4,HEXIM1
4,HDAC6
4,H6PD
4,GTPBP1
6,GPR68
4,GPN2
4,GP1BA
4,GOLGA2
4,GOLGA1
4,GMEB1
4,GJC3
4,GIGYF1
4,GAS8
3,AC090198.1
5,DTX2P1-UPK3BP1-PMS2P11
4,FSCN2
4,FOXD4L3
4,FLRT3
4,FHOD1
4,FBXW7
4,FBXL2
4,FBLN7
4,FARP1
4,FAM50A
4,ERN1
4,EPS8L1
4,EPHB4
4,EIF4ENIF1
2,PCED1B-AS1
4,EHMT1
6,EFEMP1
2,TMSB15B-AS1
4,DZIP3
4,DPP8
4,DOCK9
4,DOCK5
4,DNHD1
4,DMAP1
4,DHX36
4,DGKA
4,CYLD
4,CROCC
4,CRCP
4,COX19
4,CNOT8
4,CLK3
4,CLASP1
4,CHST12
4,CHD6
4,CEP68
4,CEP350
4,CDKN2AIP
4,CDK10
4,CDC42BPG
4,CD22
4,CCDC62
4,CCDC159
4,CAMTA2
4,CAMSAP1
4,CA13
4,C17orf67
4,BPTF
1,BCAR1
4,ATP2A1
4,ASPDH
4,ARRDC1
4,ARHGEF2
4,ARHGEF17
4,ARHGEF1
4,ARFGAP2
4,APBB3
4,AP5B1
4,AP1G2
4,AOC2
4,ANO1
4,ANKRD11
4,ANAPC2
4,AMOTL2
4,AMOT
4,AMMECR1L
4,AGFG2
4,AFTPH
4,ADAT3
4,ACSF3
4,ABLIM1
4,ABCA2
1,AADAT
4,PRIM1
4,NUP37
4,TNFSF4
4,ESF1
4,ZNF501
3,AC104958.1
4,VAMP4
4,TCEA3
6,SPOCK1
4,SLFN5
6,PPP1R12A
2,STARD13-IT1
4,ZNHIT2
6,ZMAT3
4,WIPI2
1,WFDC3
3,AP001189.3
3,AC010967.1
1,TTC1
1,TRNT1
4,TBL3
2,HAR1A
2,EMX2OS
6,SNAI2
4,SLC25A19
6,SLC25A11
6,SCG5
9,RTN4IP1
7,AC107959.1
7,AC005670.3
7,RARA-AS1
7,AC096677.1
7,AC022217.3
7,AC139887.1
7,AC008840.1
7,AC145285.2
7,FAM225B
7,LINC02447
3,LINC02715
3,AL357146.1
7,LINC00578
3,AC097512.1
3,AC026470.2
3,LINC02388
3,HSD11B1-AS1
3,AL136298.1
3,LINC02044
3,TONSL-AS1
6,RARRES1
4,PRPF6
4,PRPF19
1,PLA2G15
6,PIDD1
1,PFKFB4
6,PDZRN3
4,PACSIN3
4,NAB2
4,MYO1C
3,AC007319.1
2,BACH1-AS1
3,AC107959.2
3,AL592166.1
3,C5orf34-AS1
3,LAMA4-AS1
3,AC093866.1
6,MLXIP
1,MAP1S
1,LRRC59
1,KISS1R
1,JARID2
3,HOXA-AS3
3,AL160006.1
3,AC008040.1
1,IGF1R
1,IFNGR2
6,IFIT5
4,ICAM2
7,AC011476.3
2,ENO1-AS1
3,AL442663.3
3,Z99289.1
3,LINC02298
3,AC110285.1
4,GTF2F1
3,LINC01524
5,AC010300.1
5,AC007823.1
5,AC004241.1
5,LINC01771
5,AC131254.1
5,AL136084.1
5,AC015909.3
5,AC080129.2
5,RNF217-AS1
5,LINC00598
5,AC015909.2
6,FADS3
2,HMGA1P4
4,DHRS1
6,DDB2
2,LINC00315
4,CSK
3,AP000873.2
3,AL353622.1
3,LINC01563
3,MED8-AS1
3,LIMD1-AS1
3,AC000120.1
3,LRRC8C-DT
3,AC025682.1
3,AC008731.1
3,ZKSCAN7-AS1
9,CDKN1A
6,CCNI
4,CAPN1
4,BRD4
4,AP2A2
1,ACP5
3,LINC01235
1,NEK4
5,AL356966.1
1,DNM1L
1,DIS3L
1,YPEL4
3,CD81-AS1
1,UBE3D
1,UBA3
6,THBS2
6,SULF1
4,SPG7
1,SENP7
1,SENP1
1,RPAP3
7,AL031600.2
7,AL358115.1
7,SPACA6P-AS
3,PCAT7
1,PTOV1
1,PSMD9
1,PPM1B
6,PDS5B
1,PCYOX1L
1,PCGF5
1,NPHP3
1,N4BP1
3,AP000873.4
3,CCDC18-AS1
3,AC006160.1
1,LIN7C
2,SFTA1P
1,IRAK4
3,BAIAP2-DT
4,IFT81
1,IDUA
3,AC024361.2
3,AC026358.1
3,TH2LCRR
5,NFE2L1-DT
5,LENG8-AS1
5,AC138035.1
5,AC099811.1
5,AC011466.1
5,AC016876.1
5,AC060780.1
5,MCM3AP-AS1
5,AC010624.3
5,AC100830.1
2,AC008735.2
4,FBXO5
6,ETV6
1,COG7
1,CEP89
1,CCDC186
2,ATF3
1,ASNS
1,AMT
1,ADPRM
6,ADAMTS5
1,AASS
6,WDFY4
6,VCAM1
3,AC135178.6
6,UCP2
6,TNFSF14
6,STK17B
6,SP140
6,SMAP2
7,AL032819.1
3,LINC02615
6,RAC2
6,PTGER2
6,PLEK
6,PLAC8
6,P2RX5
4,NUMA1
6,NFKB2
6,NCR3
1,NARS2
6,LYN
6,LNPEP
6,IL7R
6,IFI30
5,AC019257.1
6,FGF7
3,NUTM2A-AS1
6,CNR2
6,CLNK
6,CDC42SE2
6,CD4
6,CCDC102B
6,C1orf162
6,BCAS4
6,ARHGAP25
3,AC073896.3
3,LINC00909
3,AC124242.1
3,ATP2B1-AS1
3,AC079807.1
3,AC114488.1
6,TUBA1A
4,SP100
6,RAB9B
4,PRPF40B
6,PDK4
2,RMST
4,MITD1
4,LRRC56
4,KLHL3
6,KCNN3
3,AC021087.3
3,AC007383.1
2,WT1-AS
3,WAC-AS1
3,AC005082.1
5,PXN-AS1
5,ALG1L9P
5,ASB16-AS1
2,LINC00114
6,FHL1
5,AL161756.1
5,AL357079.1
4,DCUN1D2
5,AL133230.1
4,CDKL3
4,CASP4
6,CACNB2
4,ANKHD1-EIF4EBP3
4,AHI1
4,ZNF740
1,ZNF667
4,ZNF467
4,ZKSCAN2
4,WRAP53
3,GPC5-AS1
3,MMP2-AS1
5,AC007773.1
1,VPS37D
1,USP20
3,AP003059.2
3,PRR34-AS1
3,AC104123.1
3,EDRF1-DT
3,MIR4453HG
5,PRANCR
3,AC127024.5
3,AC010327.5
3,VCAN-AS1
3,DDN-AS1
1,TAF9B
1,SYNGR1
4,SURF2
2,SREBF1
4,SPTBN4
4,SPEG
1,SPATC1L
1,SPAG4
2,LINC00261
4,SLC8A2
4,SALL2
4,ROM1
3,SMC2-AS1
7,AC008629.1
3,AC046134.2
3,AL157400.3
3,AC000068.1
3,AC023632.2
3,LINC01942
3,AC012213.1
3,ZBED3-AS1
3,AC104211.1
3,TMEM30A-DT
1,PSIP1
1,POLR3F
1,PIGP
1,PDZD4
4,OAZ2
4,NAT14
1,NAPA
3,AC025580.2
3,AC008966.1
4,MGAT4C
4,METRN
4,MED22
1,MCOLN3
1,MAST3
4,LY6H
4,LRRC4B
4,LENG1
1,LDOC1
1,LACTB
4,KLHL22
3,AC012313.1
3,AC078777.1
3,Z92544.1
3,AC011603.2
3,AC090204.1
2,AC012640.1
3,AC067852.3
3,AC107027.3
3,AL353796.1
3,SUGT1P4-STRA6LP
3,AC006504.5
3,AC004707.1
3,AC109454.2
3,LINC02381
3,AL356019.2
5,LINC01535
3,AL031716.1
3,AC116913.1
7,AC139530.1
3,AC091153.3
3,AC138207.2
3,AC087457.1
3,AC018462.1
3,AC129507.2
3,AC108471.2
3,AP001429.1
3,LAMA5-AS1
3,AC006148.1
3,FLJ31104
3,AL607028.1
3,AC005076.1
3,AC016907.2
3,AC068389.1
1,HK2
1,HABP4
1,GYG1
4,GRIK5
6,GALNT3
4,FXYD3
3,ZNF790-AS1
3,LINC01091
5,AC015961.1
2,FOXA2
2,PART1
2,SNHG8
1,FAM228B
4,ETNK2
4,ENDOG
4,EML6
4,DPM3
1,DPH5
1,DOLK
4,DLG4
1,DCP1B
3,AC025034.1
2,H1-10-AS1
4,CRY2
1,COPS4
1,CNKSR3
4,CLIP3
4,CHID1
1,CEMIP
4,CELSR2
2,WDFY3-AS2
2,CASP8
4,CADM4
1,BEX1
1,BEND5
2,AP000223.1
2,LINC00526
2,TP53TG1
6,AK4
1,ABHD14A
3,AC078883.1
4,TRIB3
7,AL591501.1
7,AC040168.1
7,AC104819.3
7,LINC02669
3,AC092620.1
3,AC138207.4
3,AL049840.4
3,AC034102.3
3,AC004112.1
6,MMP12
3,LIN28A
7,AC008937.2
7,AC011509.2
3,AL078459.1
7,ADAMTS9-AS2
3,AC073476.2
7,AL445685.1
1,XIST
3,LINC01361
6,ZNF74
3,AC138904.1
3,LINC01977
1,TIMELESS
7,PITPNM2-AS1
7,AL138962.1
7,LINC02259
7,LYPLAL1-DT
7,LINC00582
7,ZNF528-AS1
7,AP001042.1
7,AC010168.1
1,NEMP1
3,AL512656.1
5,AC009065.5
3,AC008663.2
3,AL138921.2
3,CEBPA-DT
3,AC114296.1
3,LINC01635
5,AC138028.4
6,LPAR2
3,AC015853.1
3,AC145207.8
5,AC022211.2
4,ALS2
1,ZMYND12
3,AL137009.1
3,DLGAP4-AS1
4,VPS53
3,ZNF213-AS1
3,AL121992.1
3,INTS6-AS1
3,AL158071.3
3,GAS5-AS1
3,AL050341.2
4,ULBP1
1,TXNRD1
4,TMEM100
1,TIMM23
4,TFPI2
4,TCHP
3,AL050343.2
3,AC024075.1
4,SYT12
4,SURF4
2,STAT1
1,SLC35G2
1,SFXN1
4,SERF1A
4,S100A13
1,RTN4
2,AC073896.2
2,AC004918.1
6,RPE
4,RMND5B
7,AL121895.1
7,HGC6.3
7,AGAP1-IT1
7,LINC01266
7,NR2F2-AS1
7,LGALSL-DT
7,AC112721.2
7,AC126696.3
7,AC026992.2
7,LINC01423
7,LINC02202
7,AP000812.1
7,AC008014.1
7,LYPLAL1-AS1
7,AP002498.1
7,AC092969.1
7,AL049780.2
7,AL359715.1
7,LINC01197
7,AC008554.1
1,RACGAP1
5,FAM225A
1,POP1
4,POLR3C
4,PI4KB
4,PHLDA3
4,PC
1,PARPBP
1,P4HA2
4,NR1D1
1,NOC3L
1,NFE2L3
1,NEK2
4,NCOA2
1,NABP2
1,NAA15
1,MTHFD2
1,MRPS16
1,MRPS11
3,AL138760.1
4,MLEC
1,MFSD12
1,MCM4
4,MAMLD1
4,LTB4R2
4,LPCAT3
4,LIF
1,KIF20B
4,ITGB3
1,IPO8
3,LINC01772
4,HS3ST5
2,SNHG15
2,AC107021.1
3,AC109460.2
3,ZNF337-AS1
3,AC009120.2
2,AC009087.1
2,MRTFA-AS1
3,AC005034.2
3,LINC02718
3,AC027607.1
3,TENM3-AS1
1,GOT2
1,GOT1
1,GART
6,GANAB
5,ZNF710-AS1
5,AL161729.4
5,DNM3OS
5,CEROX1
5,AC025164.1
4,FDPS
6,FARSB
2,AL591848.3
6,ENPP4
4,EIF4EBP3
2,GNG12-AS1
2,CASC2
2,LINC00339
2,UGDH-AS1
2,SEC24B-AS1
2,ZNF346-IT1
2,PCBP1-AS1
2,FAM215B
2,GSN-AS1
2,ENTPD3-AS1
2,EAF1-AS1
2,LINC00663
2,PLCH1-AS1
2,HM13-IT1
1,EGLN3
7,AC020978.7
5,YEATS2-AS1
4,CYB5A
3,NRSN2-AS1
2,NDUFV2-AS1
3,AL049840.2
3,PSPC1-AS2
3,AL132989.1
3,AC104806.2
4,CRYZ
6,CREB3L4
3,AF230666.1
1,CNTN3
4,CNN2
4,CLCF1
4,CIT
1,CENPI
2,CEBPB
4,CDH4
4,CDC26
6,CCT2
4,CACNB3
1,BUB1B
9,BTK
9,BANCR
1,BCAT1
1,B4GALT1
1,ANLN
4,ANAPC13
1,AMFR
4,ADCY6
4,ACVRL1
4,ACVR1B
6,ACP1
4,ZRSR2
4,ZNF778
4,ZNF692
3,LINC01315
4,UCP3
4,TUBA1C
4,TTC16
1,TOX
4,THBS3
6,SYT15
6,STEAP1
4,SS18L1
4,SRSF6
4,SPIB
4,SPACA4
4,SETD4
4,SAT1
6,SAMD3
4,RRM2
7,AC103810.2
7,H2AZ1-DT
7,FAM242C
7,AL121917.1
7,AL356124.1
7,TRIM7-AS1
7,CFLAR-AS1
7,AC046168.2
7,CYP2U1-AS1
7,AL138787.2
4,RASGRP2
4,PYGM
4,PTPRE
4,PLK1
4,NAPSA
4,MZF1
4,MYL6B
4,MYBL2
4,LRRC37B
4,LRIT3
7,LINC00470
4,GSTO1
5,KANSL1L-AS1
5,PRDX6-AS1
5,LINC01359
5,AC008555.2
5,AC107884.1
5,AC090739.1
5,TSPOAP1-AS1
5,NDUFA6-DT
3,RNF213-AS1
5,LINC00342
5,AC093690.1
5,AC073349.1
5,AC005165.1
5,AC106820.2
5,AP002026.1
2,LINC00163
2,TM4SF19-AS1
2,A2M-AS1
4,DNALI1
2,Z83843.1
5,PSMD6-AS2
3,ADNP-AS1
3,AC021739.2
4,CLCN6
4,CDT1
4,CDK3
4,CABLES1
4,C3orf62
4,BTN2A2
4,BIRC5
4,ANKDD1A
4,ADHFE1
4,ACIN1
6,ABCA8
4,ZNF426
4,ZNF20
4,ZEB1
4,TMEFF2
6,TJP2
4,SYTL2
4,SULT1A3
4,SPDYA
4,SMAD1
6,RAB11A
4,PLEKHA3
4,PLA2R1
4,NEGR1
4,MTMR9
4,MAP3K2
4,LSAMP
4,LRRTM2
4,JMJD1C
4,HECA
4,FOXP1
4,FKTN
4,FGF1
4,CYP4A22
4,CHM
4,CCPG1
4,C21orf91
4,ARHGAP28
4,ZEB2
4,WDR7
4,VPS50
4,VPS13C
4,USP34
4,USP24
4,TRPM7
4,TFEC
4,SYCP3
4,ST7L
4,SPG11
4,SMG1
4,SLC8A1
4,SGIP1
4,RTTN
4,RPAP2
4,RNF169
4,RICTOR
4,REV3L
4,RAD50
4,PRKCE
6,POLK
4,PDK1
4,PDE5A
4,NRIP1
4,NFIA
4,NAV3
4,MBD5
4,LRRN3
4,LRBA
4,LIFR
4,KRIT1
4,IFRD1
4,HECTD2
4,GTPBP10
4,GDAP2
4,FRYL
4,FOXN2
4,DMXL1
6,CLASP2
4,CEPT1
4,BMP2K
6,AVL9
4,ATRX
4,ARHGAP10
4,AQR
4,AP4E1
4,ABCA1
3,AF131215.5
3,AL359715.2
3,AL139041.1
3,AC005532.1
3,AL359711.2
3,KCNJ2-AS1
